prompt,image
一个简约的标志，包含一个竖琴的轮廓，文字为“竖琴工作室画廊”。,generated_images/image_0000000-0.png
工作室拍摄 工作室灯光 商业摄影 白色背景 五线谱背景 美洲虎小提琴 羊的 父母的 猫的 蛇的 狼的 爪痕,generated_images/image_0020000-0.png
五彩的喇嘛，酷，戴着圆形黑色眼镜，4K,generated_images/image_0040000-0.png
卡通画册，排版，热带色彩，迈阿密，高清，8k，--ar 9:16,generated_images/image_0080000-0.png
一个坐在凳子上，手举爱心形气球的男孩，超详细的面部，极简设计，淡色背景，中心主题，美学，8k，--ar 9:16 --v 5,generated_images/image_0100000-0.png
在一个圆形内创造一个迷幻设计，正视图，没有阴影，明亮，生动，LSD，分形艺术，分形，高分辨率，白色背景，没有黑色，超细节，DMT，高清，4K，--v 5 --ar 5:6,generated_images/image_0120000-0.png
体育公司标志设计将让你惊叹“哇”，并在客户心中留下深刻的印象。你的业务看起来将更具可信度和专业性，今天就能在竞争对手中脱颖而出！,generated_images/image_0160000-0.png
中景，吃巧克力冰淇淋，冰淇淋可见，大冰淇淋在棍子上，超写实图像，30岁男子，微笑，快乐，河岸，春天，温暖的天气，T恤，小瑞典镇，热闹的街道，电影感，索尼A7III，70毫米焦距 --v 5 --s 600 --ar 16:9,generated_images/image_0180000-0.png
后末世的巢穴是一个巨大的、黑暗的地下空间，充满了扭曲的隧道和洞穴。在主大厅，一群四个突变战士围绕着一堆闪烁的火焰聚集在一起。,generated_images/image_0200000-0.png
汤米·威，一个4岁的小男孩，拥有橙色的头发，吃完饭后在洗碗。水彩插画师。,generated_images/image_0240000-0.png
创建一个大型容量的4K足球场图像，场上有足球运动员正在比赛 --v 5,generated_images/image_0260000-0.png
风格：杂志摄影，主题：健美运动员戈登·拉姆齐，特点：他肌肉发达，血管突出，肌肉线条分明，身上覆盖着五彩斑斓的蔬菜纹身 --ar 2:3 --v 5,generated_images/image_0280000-0.png
森林充满了火焰和黑暗，以现实主义风格，详细渲染，圆形画，地核，梦魇般的意象，烧焦/炭化，浪漫的风景，土星臀部 --ar 3:2 --q 2 --s 750 --v 5,generated_images/image_0300000-0.png
黑暗黑色的硬核宇航员，矢量logo，高分辨率长宽比3:2 --q 2 --s 250,generated_images/image_0320000-0.png
紫色的密集城市天际线，像素艺术，像素化，像素风格，低分辨率 --s 250 --q 2,generated_images/image_0360000-0.png
超逼真的照片，来自1970年代科幻恐怖B电影的剧照。疯狂科学家的变形实验室的宽广视图，伴随着电流的放电。一位非常偏重上身的贝蒂·佩吉，全身高大的身材，身处玻璃变形舱内，被闪烁的粉色能量包围并改变为女浩克。她有非常巨大的肌肉，沉重的胸部向后拱起。背景有特斯拉线圈、范德格拉夫发生器、试管和锥形瓶。高度细致，44k，--ar 16:9,generated_images/image_0380000-0.png
爱心形状的太阳镜折断成两半，白色塑料框架，深色镜片，照片真实感，聚光灯黑色背景，HDR,generated_images/image_0400000-0.png
一个面朝镜头的五十多岁大型肌肉发达的白人男性全身照，他留着短短的白胡子，穿着未来派军事制服，他是一个科学设施的首席安全官，细节复杂，4K，超高清，高色彩对比度，--ar 16:9 --v 5,generated_images/image_0420000-0.png
网络冲浪机器人忍者真实，cgi，以锐利镜头拍摄 4k，全程动作，--ar 16:6 --q 1 --v 5,generated_images/image_0440000-0.png
创建一个现代简约的网站模板，用于一位雕塑家的主页。该网站应遵循Web 3.0的美学，并受到其他艺术家网站的启发。模板必须包括展示艺术家作品的部分、个人简历和成就，以及联系方式。融入创新的设计元素和直观的导航，以反映艺术家独特的风格和愿景。,generated_images/image_0460000-0.png
一幅超现实的图像，一个男人试图从一大堆唱片下面挖出来，女孩们穿着迪斯科服装围绕着他。,generated_images/image_0480000-0.png
莫哈维道路，加州图形矢量T恤设计，色彩丰富 --ar 4:5 --q 2 --s 250,generated_images/image_0500000-0.png
和朋友们一起数数，十个动物和物体朋友在冒险中数东西，每个朋友手里拿着一个从1到10的数字，充满活力和趣味的环境，洋溢着快乐和成就感，艺术作品，水彩画在纸上，--ar 16:9 --v 5,generated_images/image_0520000-0.png
编程公司，数据，技术专家，人工智能，抽象，超现实，青绿色,generated_images/image_0540000-0.png
鲁保罗的全身照，照片真实，化妆完全，长金发，站在舞台上，手持一个巨大的外星人，鲁保罗的全身照，照片真实，化妆完全，长金发，站在舞台上，穿着雨衣和黑色巴伦西亚伽吊带， --ar 9:16,generated_images/image_0560000-0.png
高山与河流，日落，现实照片，真实照片，超现实，16K --v 5 --s 250 --q 2,generated_images/image_0580000-0.png
